,concept1,concept2,pred,concept1_freq,concept2_freq,concept1_top1_field,concept1_top1_ratio,concept1_top2_field,concept1_top2_ratio,concept2_top1_field,concept2_top1_ratio,concept2_top2_field,concept2_top2_ratio,community1_id,community2_id,c1_community,c2_community
7110,artificial intelligence and machine learning,general logistics,0.575,100,21,service,0.26,marketing,0.24,operations,0.762,management,0.095,17,0,AI & Human-Computer Interaction,Operations Research & Queueing Theory
7111,robotics and automation engineering,cost and profit optimization in inventory systems,0.575,17,13,service,0.412,economics,0.176,operations,0.846,management,0.154,5,0,Innovation & Technology Management,Operations Research & Queueing Theory
7112,service experience and journey design,corruption studies and research,0.575,12,14,service,0.5,operations,0.417,economics,0.429,ethics,0.286,14,3,Service Operations & Design,Institutional & Social Studies
7113,health economics and policy,emotional and cognitive responses to service failures,0.575,136,10,economics,0.301,operations,0.301,service,0.5,marketing,0.3,10,1,Healthcare Management & Policy,Consumer Psychology & Decision Making
7114,human-robot interaction,operational risk management,0.574,26,12,service,0.654,marketing,0.154,operations,0.833,management,0.167,17,6,AI & Human-Computer Interaction,"Finance, Governance & Regulation"
7115,queue management and control strategies,ai applications in service delivery and systems,0.574,14,10,management,0.571,operations,0.429,service,0.8,marketing,0.2,0,17,Operations Research & Queueing Theory,AI & Human-Computer Interaction
7116,service ecosystems theory and research,research methodology and frameworks,0.574,15,67,service,0.733,marketing,0.2,marketing,0.358,management,0.254,3,3,Institutional & Social Studies,Institutional & Social Studies
7117,service outcome evaluation and performance,r&d project management and selection,0.574,22,21,service,0.364,marketing,0.227,economics,0.238,management,0.238,2,5,Organizational Behavior & HRM,Innovation & Technology Management
7118,robotics and automation engineering,resource scheduling and sequential allocation,0.574,17,15,service,0.412,economics,0.176,operations,0.6,information_systems,0.2,5,0,Innovation & Technology Management,Operations Research & Queueing Theory
7119,customer-employee and service provider interactions,emergency department and services operations,0.574,70,10,service,0.3,organization,0.243,operations,0.8,management,0.1,2,10,Organizational Behavior & HRM,Healthcare Management & Policy
7120,service industry analysis and characteristics,transformative service research,0.574,21,17,service,0.19,economics,0.143,service,0.941,marketing,0.059,11,3,Sustainability & CSR,Institutional & Social Studies
7121,resource-based view (rbv) theory and applications,social work and symbolic interaction,0.574,86,14,management,0.465,marketing,0.14,service,0.357,human_resources,0.214,8,3,Strategic Management & Performance,Institutional & Social Studies
7122,psychometrics and psychometric assessment,social work and symbolic interaction,0.574,63,14,marketing,0.397,organization,0.254,service,0.357,human_resources,0.214,1,3,Consumer Psychology & Decision Making,Institutional & Social Studies
7123,human-robot interaction,digital goods markets and economics,0.574,26,22,service,0.654,marketing,0.154,information_systems,0.455,management,0.182,17,4,AI & Human-Computer Interaction,Platform Economics & Market Design
7124,demand management and variability control,service experience evaluation and management,0.574,20,15,operations,0.45,management,0.25,service,0.667,operations,0.267,14,14,Service Operations & Design,Service Operations & Design
7125,banking and financial services,transformative service research,0.574,51,17,finance,0.216,economics,0.196,service,0.941,marketing,0.059,4,3,Platform Economics & Market Design,Institutional & Social Studies
7126,transportation systems management and planning,service ecosystems theory and research,0.574,38,15,operations,0.711,management,0.211,service,0.733,marketing,0.2,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
7127,artificial intelligence and machine learning,organizational citizenship behavior (ocb) concepts and research,0.574,100,53,service,0.26,marketing,0.24,organization,0.453,management,0.283,17,2,AI & Human-Computer Interaction,Organizational Behavior & HRM
7128,social work and symbolic interaction,service satisfaction and quality,0.574,14,10,service,0.357,human_resources,0.214,service,0.5,accounting,0.1,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
7129,emotional expression and engagement in service interactions,business intelligence and analytics,0.574,13,28,service,0.615,marketing,0.231,marketing,0.464,information_systems,0.214,1,9,Consumer Psychology & Decision Making,Data Science & Machine Learning
7130,health and clinical psychology,ai applications in service delivery and systems,0.574,60,10,marketing,0.45,organization,0.233,service,0.8,marketing,0.2,1,17,Consumer Psychology & Decision Making,AI & Human-Computer Interaction
7131,blockchain and cryptocurrency technologies,social work and symbolic interaction,0.574,19,14,operations,0.316,management,0.211,service,0.357,human_resources,0.214,6,3,"Finance, Governance & Regulation",Institutional & Social Studies
7132,customer-employee and service provider interactions,digital goods markets and economics,0.574,70,22,service,0.3,organization,0.243,information_systems,0.455,management,0.182,2,4,Organizational Behavior & HRM,Platform Economics & Market Design
7133,discourse analysis and theories,"servicescapes and their design, management, and theory",0.574,28,14,organization,0.286,management,0.25,service,0.714,marketing,0.143,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
7134,operational performance management and measurement,emotional expression and engagement in service interactions,0.574,27,13,operations,0.778,service,0.111,service,0.615,marketing,0.231,14,1,Service Operations & Design,Consumer Psychology & Decision Making
7135,service industry analysis and characteristics,mobile computing and ubiquitous services,0.574,21,14,service,0.19,economics,0.143,marketing,0.571,information_systems,0.357,11,12,Sustainability & CSR,IT & Digital Platform Management
7136,human-robot interaction,outsourcing management,0.574,26,15,service,0.654,marketing,0.154,operations,0.533,information_systems,0.2,17,14,AI & Human-Computer Interaction,Service Operations & Design
7137,e-commerce and online retail platforms,robotics and automation engineering,0.574,31,17,information_systems,0.323,marketing,0.258,service,0.412,economics,0.176,12,5,IT & Digital Platform Management,Innovation & Technology Management
7138,interdisciplinary and multidisciplinary research approaches and collaboration,"csr practices, strategies, and theoretical frameworks",0.574,37,20,service,0.297,management,0.216,ethics,0.8,marketing,0.1,3,11,Institutional & Social Studies,Sustainability & CSR
7139,digital and online advertising,"servicescapes and their design, management, and theory",0.574,35,14,marketing,0.457,information_systems,0.343,service,0.714,marketing,0.143,9,7,Data Science & Machine Learning,Marketing & Customer Relationship Management
7140,customer experience management and design,distributionally robust optimization,0.574,91,17,service,0.462,marketing,0.308,operations,0.941,management,0.059,15,0,Retailing & Customer Experience,Operations Research & Queueing Theory
7141,emergency medical services and emergency department management,service industry analysis and characteristics,0.574,45,21,operations,0.733,management,0.2,service,0.19,economics,0.143,10,11,Healthcare Management & Policy,Sustainability & CSR
7142,professional and general service design,product lifecycle management,0.574,38,14,service,0.579,operations,0.368,operations,0.643,marketing,0.143,14,13,Service Operations & Design,Supply Chain & Contract Management
7143,frontline employee behavior and management,professional studies and practice,0.574,19,12,service,0.684,marketing,0.316,management,0.417,organization,0.417,2,3,Organizational Behavior & HRM,Institutional & Social Studies
7144,general leadership,new service development,0.574,159,22,organization,0.327,ethics,0.245,service,0.455,operations,0.318,2,14,Organizational Behavior & HRM,Service Operations & Design
7145,transformative service research,healthcare reimbursement and payment models,0.574,17,12,service,0.941,marketing,0.059,operations,0.75,management,0.167,3,10,Institutional & Social Studies,Healthcare Management & Policy
7146,professional and general service design,linear programming and mathematical programming,0.574,38,26,service,0.579,operations,0.368,operations,0.846,management,0.115,14,0,Service Operations & Design,Operations Research & Queueing Theory
7147,service quality concepts and dimensions,knowledge-intensive business services (kibs) and innovation,0.574,29,26,service,0.448,operations,0.31,economics,0.423,accounting,0.154,14,5,Service Operations & Design,Innovation & Technology Management
7148,customer experience management and design,career development and management,0.574,91,20,service,0.462,marketing,0.308,management,0.4,human_resources,0.35,15,3,Retailing & Customer Experience,Institutional & Social Studies
7149,advertising strategy and optimization,ai applications in service delivery and systems,0.574,22,10,marketing,0.455,information_systems,0.273,service,0.8,marketing,0.2,7,17,Marketing & Customer Relationship Management,AI & Human-Computer Interaction
7150,customer behavior,sectoral economic analysis,0.574,112,13,service,0.321,operations,0.25,economics,0.615,international_business,0.154,19,4,Customer Behavior,Platform Economics & Market Design
7151,simulation and modeling methods and validation,service ecosystems theory and research,0.574,88,15,operations,0.591,management,0.17,service,0.733,marketing,0.2,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
7152,quality management systems and practices,frontline employee behavior and management,0.574,60,19,operations,0.7,marketing,0.083,service,0.684,marketing,0.316,8,2,Strategic Management & Performance,Organizational Behavior & HRM
7153,service industry analysis and characteristics,emotional and cognitive responses to service failures,0.574,21,10,service,0.19,economics,0.143,service,0.5,marketing,0.3,11,1,Sustainability & CSR,Consumer Psychology & Decision Making
7154,legal studies and related disciplines,value creation and co-creation in service contexts,0.574,33,17,ethics,0.333,accounting,0.121,service,0.588,marketing,0.294,6,3,"Finance, Governance & Regulation",Institutional & Social Studies
7155,value creation and co-creation in service contexts,innovation dynamics and trajectories,0.574,17,15,service,0.588,marketing,0.294,economics,0.333,organization,0.267,3,5,Institutional & Social Studies,Innovation & Technology Management
7156,new service development,narrative inquiry and analysis,0.574,22,21,service,0.455,operations,0.318,organization,0.238,marketing,0.19,14,3,Service Operations & Design,Institutional & Social Studies
7157,human-robot interaction,business intelligence and analytics,0.574,26,28,service,0.654,marketing,0.154,marketing,0.464,information_systems,0.214,17,9,AI & Human-Computer Interaction,Data Science & Machine Learning
7158,motivation theories and psychological mechanisms,service satisfaction and quality,0.574,79,10,marketing,0.354,management,0.165,service,0.5,accounting,0.1,1,7,Consumer Psychology & Decision Making,Marketing & Customer Relationship Management
7159,revenue management and pricing mechanisms,emotional expression and engagement in service interactions,0.574,31,13,operations,0.581,management,0.226,service,0.615,marketing,0.231,0,1,Operations Research & Queueing Theory,Consumer Psychology & Decision Making
7160,healthcare service delivery and management,human-robot interaction,0.574,43,26,operations,0.581,management,0.186,service,0.654,marketing,0.154,10,17,Healthcare Management & Policy,AI & Human-Computer Interaction
7161,general supply chain coordination and collaboration,service outcome evaluation and performance,0.574,34,22,operations,0.853,management,0.088,service,0.364,marketing,0.227,13,2,Supply Chain & Contract Management,Organizational Behavior & HRM
7162,innovation adoption and diffusion,emotional expression and engagement in service interactions,0.574,27,13,marketing,0.333,organization,0.222,service,0.615,marketing,0.231,5,1,Innovation & Technology Management,Consumer Psychology & Decision Making
7163,service ecosystems theory and research,advertising strategy and optimization,0.574,15,22,service,0.733,marketing,0.2,marketing,0.455,information_systems,0.273,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
7164,frontline employee behavior and management,service capacity and demand management,0.574,19,12,service,0.684,marketing,0.316,operations,0.75,management,0.083,2,14,Organizational Behavior & HRM,Service Operations & Design
7165,social entrepreneurship and social innovation,ai applications in service delivery and systems,0.574,26,10,ethics,0.385,management,0.231,service,0.8,marketing,0.2,11,17,Sustainability & CSR,AI & Human-Computer Interaction
7166,service encounter evaluation and quality,consumer learning and decision-making processes,0.574,12,14,service,0.75,marketing,0.25,marketing,0.429,management,0.286,1,4,Consumer Psychology & Decision Making,Platform Economics & Market Design
7167,attribution theory and its applications,service industry analysis and characteristics,0.574,52,21,marketing,0.519,service,0.154,service,0.19,economics,0.143,1,11,Consumer Psychology & Decision Making,Sustainability & CSR
7168,new service development,hospitality industry and operations management,0.574,22,25,service,0.455,operations,0.318,marketing,0.4,operations,0.36,14,15,Service Operations & Design,Retailing & Customer Experience
7169,human-robot interaction,on-demand service platforms and systems,0.574,26,11,service,0.654,marketing,0.154,operations,0.545,management,0.364,17,0,AI & Human-Computer Interaction,Operations Research & Queueing Theory
7170,blockchain and cryptocurrency technologies,service encounter evaluation and quality,0.574,19,12,operations,0.316,management,0.211,service,0.75,marketing,0.25,6,1,"Finance, Governance & Regulation",Consumer Psychology & Decision Making
7171,queue management and control strategies,social work and symbolic interaction,0.574,14,14,management,0.571,operations,0.429,service,0.357,human_resources,0.214,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
7172,social work and symbolic interaction,anthropology and its subfields,0.574,14,43,service,0.357,human_resources,0.214,marketing,0.558,human_resources,0.14,3,3,Institutional & Social Studies,Institutional & Social Studies
7173,banking and financial services,service encounter interaction and process,0.574,51,23,finance,0.216,economics,0.196,service,0.609,marketing,0.13,4,14,Platform Economics & Market Design,Service Operations & Design
7174,interdisciplinary and multidisciplinary research approaches and collaboration,consumer welfare and social welfare analysis,0.574,37,30,service,0.297,management,0.216,information_systems,0.3,management,0.2,3,4,Institutional & Social Studies,Platform Economics & Market Design
7175,social work and symbolic interaction,mediation and moderation analysis in behavioral research,0.574,14,31,service,0.357,human_resources,0.214,marketing,0.29,ethics,0.194,3,2,Institutional & Social Studies,Organizational Behavior & HRM
7176,online marketplaces and platforms,emotional and cognitive responses to service failures,0.574,27,10,information_systems,0.333,management,0.259,service,0.5,marketing,0.3,4,1,Platform Economics & Market Design,Consumer Psychology & Decision Making
7177,emergency medical services and emergency department management,ai applications in service delivery and systems,0.574,45,10,operations,0.733,management,0.2,service,0.8,marketing,0.2,10,17,Healthcare Management & Policy,AI & Human-Computer Interaction
7178,service quality measurement and evaluation,agricultural market economics,0.574,39,27,service,0.41,marketing,0.205,operations,0.37,economics,0.185,14,5,Service Operations & Design,Innovation & Technology Management
7179,emotional expression and engagement in service interactions,high-performance work systems (hpws),0.574,13,21,service,0.615,marketing,0.231,human_resources,0.333,management,0.333,1,2,Consumer Psychology & Decision Making,Organizational Behavior & HRM
7180,value creation and co-creation in service contexts,environmental psychology and related social sciences,0.574,17,59,service,0.588,marketing,0.294,marketing,0.492,service,0.203,3,1,Institutional & Social Studies,Consumer Psychology & Decision Making
7181,development economics,"customer attitudes, perceptions, and behavioral intentions",0.574,79,49,economics,0.392,operations,0.19,service,0.367,marketing,0.347,4,7,Platform Economics & Market Design,Marketing & Customer Relationship Management
7182,optimization under uncertainty,ai applications in service delivery and systems,0.574,17,10,operations,0.647,management,0.294,service,0.8,marketing,0.2,0,17,Operations Research & Queueing Theory,AI & Human-Computer Interaction
7183,employee attitudes and behavioral responses,robotics and automation engineering,0.574,102,17,organization,0.314,ethics,0.196,service,0.412,economics,0.176,2,5,Organizational Behavior & HRM,Innovation & Technology Management
7184,interdisciplinary and multidisciplinary research approaches and collaboration,experimental design and methodology,0.574,37,30,service,0.297,management,0.216,marketing,0.6,management,0.167,3,9,Institutional & Social Studies,Data Science & Machine Learning
7185,artificial intelligence and machine learning,health disparities and related research,0.574,100,10,service,0.26,marketing,0.24,operations,0.4,economics,0.3,17,10,AI & Human-Computer Interaction,Healthcare Management & Policy
7186,service customization and personalization,justice perceptions and theories in service contexts,0.574,15,13,operations,0.333,service,0.267,service,0.615,ethics,0.154,14,7,Service Operations & Design,Marketing & Customer Relationship Management
7187,frontline employee behavior and management,robotics and automation engineering,0.574,19,17,service,0.684,marketing,0.316,service,0.412,economics,0.176,2,5,Organizational Behavior & HRM,Innovation & Technology Management
7188,telecommunications systems and networks,emotional expression and engagement in service interactions,0.574,18,13,operations,0.5,economics,0.111,service,0.615,marketing,0.231,4,1,Platform Economics & Market Design,Consumer Psychology & Decision Making
7189,social work and symbolic interaction,ethical decision-making processes and frameworks,0.574,14,33,service,0.357,human_resources,0.214,ethics,0.818,marketing,0.061,3,11,Institutional & Social Studies,Sustainability & CSR
7190,human factors and ergonomics,emotional and cognitive responses to service failures,0.574,24,10,marketing,0.333,operations,0.333,service,0.5,marketing,0.3,10,1,Healthcare Management & Policy,Consumer Psychology & Decision Making
7191,service innovation,oligopoly market structures and competition models,0.574,75,12,service,0.373,economics,0.213,management,0.417,operations,0.333,5,4,Innovation & Technology Management,Platform Economics & Market Design
7192,cloud computing and resource management,new service development,0.574,37,22,information_systems,0.541,operations,0.351,service,0.455,operations,0.318,0,14,Operations Research & Queueing Theory,Service Operations & Design
7193,service quality measurement and evaluation,ownership structure and control,0.574,39,11,service,0.41,marketing,0.205,management,0.364,organization,0.273,14,6,Service Operations & Design,"Finance, Governance & Regulation"
7194,service ecosystems theory and research,digital goods markets and economics,0.574,15,22,service,0.733,marketing,0.2,information_systems,0.455,management,0.182,3,4,Institutional & Social Studies,Platform Economics & Market Design
7195,service science and research,reputation management and online reputation systems,0.574,44,51,service,0.477,information_systems,0.136,management,0.235,information_systems,0.176,18,16,Service-Dominant Logic & Value Co-creation,Communication & Reputation Management
7196,branches of philosophy,service satisfaction and quality,0.574,70,10,ethics,0.443,marketing,0.2,service,0.5,accounting,0.1,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
7197,interdisciplinary and multidisciplinary research approaches and collaboration,information systems security and management,0.574,37,39,service,0.297,management,0.216,information_systems,0.436,marketing,0.179,3,6,Institutional & Social Studies,"Finance, Governance & Regulation"
7198,service outcome evaluation and performance,educational technology,0.574,22,17,service,0.364,marketing,0.227,information_systems,0.294,marketing,0.294,2,3,Organizational Behavior & HRM,Institutional & Social Studies
7199,professional identity and role dynamics,emotional and cognitive responses to service failures,0.574,30,10,management,0.367,human_resources,0.333,service,0.5,marketing,0.3,3,1,Institutional & Social Studies,Consumer Psychology & Decision Making
7200,robotics and automation engineering,mediation and moderation analysis in behavioral research,0.574,17,31,service,0.412,economics,0.176,marketing,0.29,ethics,0.194,5,2,Innovation & Technology Management,Organizational Behavior & HRM
7201,ethics and social responsibility in marketing,social work and symbolic interaction,0.574,29,14,ethics,0.724,marketing,0.276,service,0.357,human_resources,0.214,11,3,Sustainability & CSR,Institutional & Social Studies
7202,general leadership,service ecosystems theory and research,0.573,159,15,organization,0.327,ethics,0.245,service,0.733,marketing,0.2,2,3,Organizational Behavior & HRM,Institutional & Social Studies
7203,epidemiology and its subfields,service experience and journey design,0.573,38,12,operations,0.395,economics,0.237,service,0.5,operations,0.417,10,14,Healthcare Management & Policy,Service Operations & Design
7204,self-service technology usage and management,service outcome evaluation and performance,0.573,21,22,marketing,0.333,service,0.333,service,0.364,marketing,0.227,12,2,IT & Digital Platform Management,Organizational Behavior & HRM
7205,"servicescapes and their design, management, and theory",market orientation framework,0.573,14,36,service,0.714,marketing,0.143,marketing,0.778,service,0.111,7,8,Marketing & Customer Relationship Management,Strategic Management & Performance
7206,corporate finance,emotional and cognitive responses to service failures,0.573,222,10,marketing,0.243,finance,0.171,service,0.5,marketing,0.3,6,1,"Finance, Governance & Regulation",Consumer Psychology & Decision Making
7207,control theory,service ecosystems theory and research,0.573,26,15,operations,0.615,marketing,0.115,service,0.733,marketing,0.2,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
7208,production and operations management,emotional expression and engagement in service interactions,0.573,69,13,operations,0.754,management,0.159,service,0.615,marketing,0.231,0,1,Operations Research & Queueing Theory,Consumer Psychology & Decision Making
7209,service ecosystems theory and research,clinical and medical decision making,0.573,15,22,service,0.733,marketing,0.2,operations,0.5,management,0.227,3,10,Institutional & Social Studies,Healthcare Management & Policy
7210,financial technology (fintech),emotional and cognitive responses to service failures,0.573,34,10,information_systems,0.235,finance,0.176,service,0.5,marketing,0.3,6,1,"Finance, Governance & Regulation",Consumer Psychology & Decision Making
7211,time series analysis and forecasting,justice perceptions and theories in service contexts,0.573,27,13,marketing,0.519,operations,0.333,service,0.615,ethics,0.154,9,7,Data Science & Machine Learning,Marketing & Customer Relationship Management
7212,service innovation,capacity allocation and optimization,0.573,75,21,service,0.373,economics,0.213,operations,0.714,management,0.143,5,0,Innovation & Technology Management,Operations Research & Queueing Theory
7213,political economy and economics,frontline employee behavior and management,0.573,60,19,economics,0.367,management,0.217,service,0.684,marketing,0.316,3,2,Institutional & Social Studies,Organizational Behavior & HRM
7214,employee satisfaction and related attitudes,professional studies and practice,0.573,22,12,service,0.364,marketing,0.227,management,0.417,organization,0.417,2,3,Organizational Behavior & HRM,Institutional & Social Studies
7215,service industry analysis and characteristics,business intelligence and analytics,0.573,21,28,service,0.19,economics,0.143,marketing,0.464,information_systems,0.214,11,9,Sustainability & CSR,Data Science & Machine Learning
7216,social work and symbolic interaction,organizational adaptation and evolution,0.573,14,25,service,0.357,human_resources,0.214,management,0.52,organization,0.24,3,2,Institutional & Social Studies,Organizational Behavior & HRM
7217,human-robot interaction,behavioral operations development,0.573,26,16,service,0.654,marketing,0.154,operations,0.875,management,0.125,17,0,AI & Human-Computer Interaction,Operations Research & Queueing Theory
7218,stochastic modeling and simulation,service ecosystems theory and research,0.573,131,15,operations,0.618,management,0.298,service,0.733,marketing,0.2,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
7219,service experience evaluation and management,educational policy and management,0.573,15,18,service,0.667,operations,0.267,economics,0.222,marketing,0.222,14,3,Service Operations & Design,Institutional & Social Studies
7220,sectoral innovation dynamics and systems,service ecosystems theory and research,0.573,21,15,economics,0.381,finance,0.286,service,0.733,marketing,0.2,5,3,Innovation & Technology Management,Institutional & Social Studies
7221,healthcare service delivery and management,emotional expression and engagement in service interactions,0.573,43,13,operations,0.581,management,0.186,service,0.615,marketing,0.231,10,1,Healthcare Management & Policy,Consumer Psychology & Decision Making
7222,value creation and co-creation in service contexts,ethics and social responsibility in marketing,0.573,17,29,service,0.588,marketing,0.294,ethics,0.724,marketing,0.276,3,11,Institutional & Social Studies,Sustainability & CSR
7223,frontline employee behavior and management,reputation theory and economic implications,0.573,19,21,service,0.684,marketing,0.316,management,0.333,finance,0.143,2,16,Organizational Behavior & HRM,Communication & Reputation Management
7224,customer behavior,regulatory compliance and management,0.573,112,42,service,0.321,operations,0.25,accounting,0.524,ethics,0.095,19,6,Customer Behavior,"Finance, Governance & Regulation"
7225,frontline employee behavior and management,financial services marketing,0.573,19,15,service,0.684,marketing,0.316,marketing,0.533,service,0.267,2,6,Organizational Behavior & HRM,"Finance, Governance & Regulation"
7226,media studies and audience research,value cocreation in service contexts,0.573,76,20,marketing,0.421,information_systems,0.158,service,0.75,information_systems,0.1,16,18,Communication & Reputation Management,Service-Dominant Logic & Value Co-creation
7227,emotional psychology and sociology,technology adoption in service industries,0.573,24,11,marketing,0.708,service,0.167,service,0.545,management,0.182,1,14,Consumer Psychology & Decision Making,Service Operations & Design
7228,customer experience management and design,bidding behavior and strategies in auctions,0.573,91,17,service,0.462,marketing,0.308,management,0.412,operations,0.235,15,4,Retailing & Customer Experience,Platform Economics & Market Design
7229,customer behavior,innovation types and typologies,0.573,112,16,service,0.321,operations,0.25,economics,0.312,finance,0.188,19,5,Customer Behavior,Innovation & Technology Management
7230,employee satisfaction and related attitudes,experimental design and methodology,0.573,22,30,service,0.364,marketing,0.227,marketing,0.6,management,0.167,2,9,Organizational Behavior & HRM,Data Science & Machine Learning
7231,organizational culture and its influences,"servicescapes and their design, management, and theory",0.573,25,14,management,0.32,human_resources,0.24,service,0.714,marketing,0.143,2,7,Organizational Behavior & HRM,Marketing & Customer Relationship Management
7232,human-robot interaction,relational exchange and contracting concepts,0.573,26,15,service,0.654,marketing,0.154,marketing,0.4,information_systems,0.133,17,13,AI & Human-Computer Interaction,Supply Chain & Contract Management
7233,organizational ethical climate and culture,ai applications in service delivery and systems,0.573,26,10,ethics,0.808,organization,0.077,service,0.8,marketing,0.2,2,17,Organizational Behavior & HRM,AI & Human-Computer Interaction
7234,bibliometrics and scientometrics,justice perceptions and theories in service contexts,0.573,38,13,marketing,0.184,accounting,0.158,service,0.615,ethics,0.154,10,7,Healthcare Management & Policy,Marketing & Customer Relationship Management
7235,nonprofit management and organizational operations,"servicescapes and their design, management, and theory",0.573,47,14,marketing,0.277,operations,0.213,service,0.714,marketing,0.143,11,7,Sustainability & CSR,Marketing & Customer Relationship Management
7236,frontline employee behavior and management,social comparison theory and processes,0.573,19,35,service,0.684,marketing,0.316,organization,0.257,marketing,0.229,2,2,Organizational Behavior & HRM,Organizational Behavior & HRM
7237,professional and general service design,history,0.573,38,26,service,0.579,operations,0.368,economics,0.462,management,0.192,14,4,Service Operations & Design,Platform Economics & Market Design
7238,professional and general service design,relational exchange and contracting concepts,0.573,38,15,service,0.579,operations,0.368,marketing,0.4,information_systems,0.133,14,13,Service Operations & Design,Supply Chain & Contract Management
7239,professional and general service design,business education,0.573,38,13,service,0.579,operations,0.368,ethics,0.308,human_resources,0.231,14,3,Service Operations & Design,Institutional & Social Studies
7240,"servicescapes and their design, management, and theory",emotion and affect in organizational contexts,0.573,14,29,service,0.714,marketing,0.143,management,0.483,organization,0.276,7,2,Marketing & Customer Relationship Management,Organizational Behavior & HRM
7241,interdisciplinary and multidisciplinary research approaches and collaboration,product differentiation,0.573,37,23,service,0.297,management,0.216,marketing,0.478,management,0.304,3,4,Institutional & Social Studies,Platform Economics & Market Design
7242,market equilibrium analysis,service experience evaluation and management,0.573,20,15,operations,0.4,management,0.25,service,0.667,operations,0.267,4,14,Platform Economics & Market Design,Service Operations & Design
7243,risk management in supply chains,robotics and automation engineering,0.573,21,17,operations,0.81,ethics,0.095,service,0.412,economics,0.176,13,5,Supply Chain & Contract Management,Innovation & Technology Management
7244,statistical analysis and methods,frontline employee behavior and management,0.573,47,19,marketing,0.319,operations,0.234,service,0.684,marketing,0.316,9,2,Data Science & Machine Learning,Organizational Behavior & HRM
7245,organizational justice and its dimensions,technology adoption in service industries,0.573,45,11,organization,0.422,management,0.267,service,0.545,management,0.182,2,14,Organizational Behavior & HRM,Service Operations & Design
7246,customer impatience and abandonment modeling,ai applications in service delivery and systems,0.573,21,10,operations,0.857,management,0.143,service,0.8,marketing,0.2,0,17,Operations Research & Queueing Theory,AI & Human-Computer Interaction
7247,hrm practices and systems,ai applications in service delivery and systems,0.573,21,10,human_resources,0.619,management,0.19,service,0.8,marketing,0.2,2,17,Organizational Behavior & HRM,AI & Human-Computer Interaction
7248,service marketing and management,optimization under uncertainty,0.573,397,17,service,0.557,marketing,0.332,operations,0.647,management,0.294,7,0,Marketing & Customer Relationship Management,Operations Research & Queueing Theory
7249,service science and research,electronic and online word of mouth (ewom) communication,0.573,44,84,service,0.477,information_systems,0.136,marketing,0.631,service,0.167,18,7,Service-Dominant Logic & Value Co-creation,Marketing & Customer Relationship Management
7250,digital media and communication studies,emotional and cognitive responses to service failures,0.573,32,10,marketing,0.438,ethics,0.125,service,0.5,marketing,0.3,16,1,Communication & Reputation Management,Consumer Psychology & Decision Making
7251,development studies and practices,robotics and automation engineering,0.573,29,17,economics,0.31,ethics,0.241,service,0.412,economics,0.176,5,5,Innovation & Technology Management,Innovation & Technology Management
7252,employee attitudes and behavioral responses,new service development,0.573,102,22,organization,0.314,ethics,0.196,service,0.455,operations,0.318,2,14,Organizational Behavior & HRM,Service Operations & Design
7253,human-robot interaction,history and sociology of professions,0.573,26,13,service,0.654,marketing,0.154,management,0.538,organization,0.231,17,3,AI & Human-Computer Interaction,Institutional & Social Studies
7254,interdisciplinary and multidisciplinary research approaches and collaboration,reputation theory and economic implications,0.573,37,21,service,0.297,management,0.216,management,0.333,finance,0.143,3,16,Institutional & Social Studies,Communication & Reputation Management
7255,frontline employee behavior and management,labor market studies and analysis,0.573,19,20,service,0.684,marketing,0.316,economics,0.4,human_resources,0.15,2,4,Organizational Behavior & HRM,Platform Economics & Market Design
7256,contract design and incentive mechanisms,service experience and journey design,0.573,171,12,operations,0.439,management,0.216,service,0.5,operations,0.417,13,14,Supply Chain & Contract Management,Service Operations & Design
7257,criminology and criminal justice,service satisfaction and quality,0.573,23,10,ethics,0.174,operations,0.174,service,0.5,accounting,0.1,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
7258,human-robot interaction,job attitudes and work behaviors,0.573,26,20,service,0.654,marketing,0.154,organization,0.45,management,0.15,17,2,AI & Human-Computer Interaction,Organizational Behavior & HRM
7259,service industry analysis and characteristics,robotics and automation engineering,0.573,21,17,service,0.19,economics,0.143,service,0.412,economics,0.176,11,5,Sustainability & CSR,Innovation & Technology Management
7260,legitimacy and legitimation processes in organizations,ai applications in service delivery and systems,0.573,42,10,management,0.405,organization,0.167,service,0.8,marketing,0.2,3,17,Institutional & Social Studies,AI & Human-Computer Interaction
7261,artificial intelligence and machine learning,heavy traffic asymptotic analysis and approximation methods,0.573,100,19,service,0.26,marketing,0.24,operations,0.632,management,0.368,17,0,AI & Human-Computer Interaction,Operations Research & Queueing Theory
7262,human-robot interaction,financial markets and instruments,0.573,26,18,service,0.654,marketing,0.154,finance,0.333,ethics,0.278,17,6,AI & Human-Computer Interaction,"Finance, Governance & Regulation"
7263,professional and general service design,managerial decision making and support,0.573,38,50,service,0.579,operations,0.368,management,0.3,marketing,0.24,14,8,Service Operations & Design,Strategic Management & Performance
